"","Network","remove_strategy","remove_ratio","remove_number","measure","Mean","SD"
"198","TW","node_rand",0.5,"117","Pcr",0.476224900477867,0.242544035077655
"199","TW","node_rand",0.6,"140","Eff",0.0652034836437388,0.0163746284218996
"200","TW","node_rand",0.6,"140","Eigen",0.00983859245881745,0.00217494578378443
"201","TW","node_rand",0.6,"140","Pcr",-0.0116192615922409,3.614471746128
"202","TW","node_rand",0.7,"164","Eff",0.048344003856242,0.0200585323713623
"203","TW","node_rand",0.7,"164","Eigen",0.00923526734760938,0.00249956234150802
"204","TW","node_rand",0.7,"164","Pcr",-3.10234758555901,10.7699784012903
"205","TW","node_rand",0.8,"187","Eff",0.0375896493274562,0.0240176813097226
"206","TW","node_rand",0.8,"187","Eigen",0.00943087316070954,0.0037230844615695
"207","TW","node_rand",0.8,"187","Pcr",2.1626677379532,2.85070429439291
"208","TW","node_rand",0.9,"211","Eff",0.027839296072346,0.0322144202986405
"209","TW","node_rand",0.9,"211","Eigen",0.00998708584452788,0.00723485966401086
"210","TW","node_rand",0.9,"211","Pcr",2.66836209179504,1.20850743762801
"211","TW","node_degree_high",0,"0","Eff",0.163867356534376,NA
"212","TW","node_degree_high",0,"0","Eigen",0.0100489326274538,NA
"213","TW","node_degree_high",0,"0","Pcr",0.892012821068134,NA
"214","TW","node_degree_high",0.1,"23","Eff",0.101804151787745,NA
"215","TW","node_degree_high",0.1,"23","Eigen",0.00592976275580896,NA
"216","TW","node_degree_high",0.1,"23","Pcr",0.319826469436327,NA
"217","TW","node_degree_high",0.2,"47","Eff",0.0342498076476061,NA
"218","TW","node_degree_high",0.2,"47","Eigen",0.00409590672521037,NA
"219","TW","node_degree_high",0.2,"47","Pcr",13.2006097560975,NA
"220","TW","node_degree_high",0.3,"70","Eff",0.010389522771933,NA
"221","TW","node_degree_high",0.3,"70","Eigen",0.00327180413347113,NA
"222","TW","node_degree_high",0.3,"70","Pcr",2.83690987124464,NA
"223","TW","node_degree_high",0.4,"94","Eff",0.00576602907959505,NA
"224","TW","node_degree_high",0.4,"94","Eigen",0.00255334535682909,NA
"225","TW","node_degree_high",0.4,"94","Pcr",2.29719431936266,NA
"226","TW","node_degree_high",0.5,"117","Eff",0.00513311414204635,NA
"227","TW","node_degree_high",0.5,"117","Eigen",0.00239394856618728,NA
"228","TW","node_degree_high",0.5,"117","Pcr",2.19330855018587,NA
"229","TW","node_degree_high",0.6,"140","Eff",0.00341027670760187,NA
"230","TW","node_degree_high",0.6,"140","Eigen",0.00185360502374333,NA
"231","TW","node_degree_high",0.6,"140","Pcr",2.09326086956522,NA
"232","TW","node_degree_high",0.7,"164","Eff",0.00320777077045363,NA
"233","TW","node_degree_high",0.7,"164","Eigen",0.00175606269761891,NA
"234","TW","node_degree_high",0.7,"164","Pcr",2.06075626681773,NA
"235","TW","node_degree_high",0.8,"187","Eff",0.00207816812727476,NA
"236","TW","node_degree_high",0.8,"187","Pcr",2.02381921824104,NA
