,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV67,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Ottowia,s__norank_Ottowia
ASV66,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__norank_Beijerinckiaceae,s__norank_Beijerinckiaceae
ASV65,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prolixibacteraceae,g__WCHB1-32,s__norank_WCHB1-32
ASV64,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Aeromonas,s__Aeromonas_media
ASV63,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__norank_Chryseobacterium
ASV62,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Kineosporiales,f__Kineosporiaceae,g__Quadrisphaera,s__metagenome
ASV61,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Gelidibacter,s__norank_Gelidibacter
ASV60,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__norank_Chitinophagaceae,s__norank_Chitinophagaceae
ASV6,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prolixibacteraceae,g__norank_Prolixibacteraceae,s__norank_Prolixibacteraceae
ASV59,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Tetrasphaera,s__norank_Tetrasphaera
ASV58,k__norank_Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_Family_XII,g__Fusibacter,s__norank_Fusibacter
ASV57,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__norank_Saccharimonadaceae,s__norank_Saccharimonadaceae
ASV56,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__wastewater_metagenome,g__wastewater_metagenome,s__wastewater_metagenome
ASV55,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__AKYH767,g__norank_AKYH767,s__norank_AKYH767
ASV54,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Pseudonocardia,s__norank_Pseudonocardia
ASV53,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Thauera,s__norank_Thauera
ASV52,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__Lentimicrobiaceae,g__norank_Lentimicrobiaceae,s__norank_Lentimicrobiaceae
ASV51,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Niabella,s__norank_Niabella
ASV50,k__norank_Bacteria,p__Bacteroidetes,c__Ignavibacteria,o__Ignavibacteriales,f__PHOS-HE36,g__norank_PHOS-HE36,s__norank_PHOS-HE36
ASV5,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Ottowia,s__norank_Ottowia
ASV49,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Ottowia,s__metagenome
ASV48,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium_sp._YO34
ASV47,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prolixibacteraceae,g__norank_Prolixibacteraceae,s__norank_Prolixibacteraceae
ASV46,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__norank_Propionibacteriaceae,s__norank_Propionibacteriaceae
ASV45,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_Saccharimonadales,g__norank_Saccharimonadales,s__norank_Saccharimonadales
ASV44,k__norank_Bacteria,p__Deinococcus-Thermus,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__Deinococcus_hopiensis
ASV43,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Dermatophilaceae,g__norank_Dermatophilaceae,s__norank_Dermatophilaceae
ASV42,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingopyxis,s__unidentified
ASV41,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Dechloromonas,s__norank_Dechloromonas
ASV40,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__wastewater_metagenome,g__wastewater_metagenome,s__wastewater_metagenome
ASV4,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__norank_Beijerinckiaceae,s__norank_Beijerinckiaceae
